OperatorID;Room1;Room2;TravelTime
24;164A12DK 16;044A04DK 16;3
24;044A04DK 16;044A04DK 18;6
24;044A04DK 18;044A04DK 19;7
25;034A04DK 4;044A05DK 4;9
25;044A05DK 4;044A04DK 4;5
25;044A04DK 4;044A04DK 5;5
25;044A04DK 5;044A04DK 6;6
25;044A04DK 6;044A04DK 7;7
25;044A04DK 7;044A04DK 8;7
25;044A04DK 8;044A04DK 9;7
25;044A04DK 9;094A01DK 9;11
25;094A01DK 9;094A08DK 9;26
25;094A08DK 9;094A01DK 9;26
25;094A01DK 9;044A04DK 9;11
25;044A04DK 9;044A04DK 10;6
25;044A04DK 10;044A04DK 11;6
25;044A04DK 11;044A04DK 12;6
25;044A04DK 12;044A04DK 13;6
25;044A04DK 13;044A04DK 14;6
25;044A04DK 14;144A01DK 14;11

OperatorID;MA;Room;ProcessingTime;TotalCumulativeTime
1;MA_432023;033A05DK 3;110;182
1;MA_432019;033A05DK 3;110;292
1;MA_431734;054A04DK 5;110;484
1;MA_431625;094A08DK 9;110;667
2;MA_431804;014A01DK 1;110;182
2;MA_431904;012A08DK 1;110;341
2;MA_431902;012A04DK 1;110;459
2;MA_431901;012A06DK 1;110;577
3;MA_431767;044A05DK 4;110;119
3;MA_432020;033A05DK 3;110;292
3;MA_432017;033A05DK 3;110;402
3;MA_431828;014A01DK 1;110;562
3;MA_431805;014A01DK 1;110;672
4;MA_431674;032A14DK 4;110;161
4;MA_431737;053A02DK 6;110;310
4;MA_431970;104A02DK 10;110;492
4;MA_431633;095A06DK 9;110;666
5;MA_431722;045A04DK 4;110;183
5;MA_431721;045A04DK 4;110;293
5;MA_431714;046A05DK 4;110;466
5;MA_431715;046A05DK 4;110;576
6;MA_431764;044A05DK 4;110;119
6;MA_432022;033A05DK 3;110;292
6;MA_431932;041A17DK 4;110;484
6;MA_431796;061A03DK 6;110;648
7;MA_432067;144A01DK 14;110;197
7;MA_431651;164A03DK 16;110;378
7;MA_431652;164A01DK 16;110;516
7;MA_432081;164A01DK 16;110;626
8;MA_431829;014A01DK 1;110;182
8;MA_431905;012A08DK 1;110;341
8;MA_432001;013A07DK 1;110;490
